respondent_id,gender,age_group,household_size,region,province,district,survey_date,year,month,school_attendance,health_service_access,clean_water_access,food_security_status,response_complete,missing_fields_count
R0044,Female,50+,10,Central Highlands,North Valley,District C,2024-01-08,2024,Jan,No,No,No,Secure,False,2
R0045,Female,50+,7,Central Highlands,North Valley,District A,2024-01-07,2024,Jan,No,No,No,Secure,True,0
R0046,Female,35-49,6,Central Highlands,North Valley,District B,2024-04-06,2024,Apr,Yes,No,No,Insecure,True,0
R0047,Female,50+,5,Central Highlands,East Plains,District A,2024-01-11,2024,Jan,Yes,Yes,Yes,Secure,False,1
R0048,Female,35-49,2,Central Highlands,South Ridge,District A,2024-03-05,2024,Mar,No,No,No,Secure,False,1
R0049,Male,50+,9,Central Highlands,East Plains,District C,2024-01-31,2024,Jan,No,No,Yes,Secure,False,1
R0050,Male,25-34,6,Central Highlands,East Plains,District B,2024-01-01,2024,Jan,No,Yes,Yes,Secure,True,0
R0051,Female,35-49,9,Central Highlands,South Ridge,District B,2024-01-06,2024,Jan,Yes,Yes,Yes,Insecure,False,2
R0052,Female,35-49,4,Central Highlands,North Valley,District A,2024-04-30,2024,Apr,No,Yes,Yes,Insecure,True,0
R0053,Female,18-24,3,Central Highlands,East Plains,District C,2024-04-24,2024,Apr,Yes,No,Yes,Insecure,False,1
R0054,Female,25-34,4,Central Highlands,South Ridge,District A,2024-01-19,2024,Jan,No,No,No,Insecure,False,1
R0055,Male,25-34,8,Central Highlands,East Plains,District C,2024-01-18,2024,Jan,No,Yes,Yes,Secure,False,3
R0056,Female,35-49,7,Central Highlands,East Plains,District B,2024-02-24,2024,Feb,No,No,Yes,Insecure,False,3
R0057,Male,50+,1,Central Highlands,South Ridge,District A,2024-04-11,2024,Apr,Yes,Yes,Yes,Secure,False,2
R0058,Male,50+,5,Central Highlands,North Valley,District C,2024-01-02,2024,Jan,Yes,Yes,No,Secure,False,2
R0059,Male,18-24,5,Central Highlands,East Plains,District B,2024-04-19,2024,Apr,No,Yes,Yes,Insecure,False,2
R0060,Male,35-49,7,Central Highlands,South Ridge,District B,2024-03-28,2024,Mar,No,No,Yes,Secure,False,2
R0061,Female,50+,5,Central Highlands,East Plains,District B,2024-02-17,2024,Feb,Yes,Yes,No,Secure,False,2
R0062,Male,35-49,1,Central Highlands,East Plains,District B,2024-04-01,2024,Apr,No,Yes,Yes,Insecure,True,0
R0063,Male,18-24,3,Central Highlands,South Ridge,District C,2024-01-31,2024,Jan,Yes,Yes,Yes,Secure,True,0
R0064,Female,25-34,10,Central Highlands,North Valley,District C,2024-04-01,2024,Apr,No,No,No,Secure,False,2
R0065,Female,50+,5,Central Highlands,North Valley,District A,2024-03-10,2024,Mar,No,Yes,No,Secure,False,3
R0066,Female,50+,8,Central Highlands,East Plains,District C,2024-03-31,2024,Mar,No,Yes,Yes,Insecure,False,2
R0067,Male,35-49,4,Central Highlands,East Plains,District A,2024-03-29,2024,Mar,No,Yes,Yes,Secure,False,3
R0068,Male,50+,8,Central Highlands,East Plains,District A,2024-03-09,2024,Mar,Yes,No,Yes,Secure,False,3
R0069,Female,35-49,4,Central Highlands,North Valley,District A,2024-04-12,2024,Apr,Yes,No,Yes,Insecure,True,0
R0070,Female,25-34,6,Central Highlands,East Plains,District C,2024-04-09,2024,Apr,No,No,No,Secure,True,0
R0071,Male,18-24,6,Central Highlands,South Ridge,District A,2024-01-21,2024,Jan,Yes,Yes,No,Insecure,False,1
R0072,Female,50+,2,Central Highlands,North Valley,District B,2024-01-11,2024,Jan,No,No,Yes,Insecure,False,2
R0073,Female,18-24,5,Central Highlands,East Plains,District C,2024-02-10,2024,Feb,No,Yes,No,Insecure,True,0
R0074,Female,25-34,3,Central Highlands,South Ridge,District B,2024-01-07,2024,Jan,Yes,No,No,Insecure,False,1
R0075,Female,25-34,10,Central Highlands,North Valley,District C,2024-02-20,2024,Feb,Yes,No,Yes,Insecure,True,0
R0076,Male,35-49,9,Central Highlands,South Ridge,District A,2024-01-21,2024,Jan,Yes,Yes,Yes,Insecure,True,0
R0077,Male,50+,2,Central Highlands,North Valley,District C,2024-01-29,2024,Jan,Yes,Yes,No,Secure,True,0
R0078,Male,50+,7,Central Highlands,South Ridge,District C,2024-02-09,2024,Feb,Yes,Yes,Yes,Insecure,False,1
R0079,Male,50+,7,Central Highlands,South Ridge,District C,2024-02-06,2024,Feb,Yes,Yes,Yes,Secure,True,0
R0080,Male,25-34,3,Central Highlands,North Valley,District B,2024-03-06,2024,Mar,No,No,Yes,Secure,False,3
R0081,Male,25-34,1,Central Highlands,North Valley,District C,2024-01-15,2024,Jan,Yes,Yes,Yes,Secure,True,0
R0082,Male,18-24,7,Central Highlands,East Plains,District A,2024-02-02,2024,Feb,Yes,No,Yes,Secure,False,2
R0083,Female,18-24,4,Central Highlands,East Plains,District B,2024-01-20,2024,Jan,No,No,No,Insecure,False,3
R0084,Female,50+,3,Central Highlands,South Ridge,District A,2024-01-01,2024,Jan,No,No,No,Secure,True,0
R0085,Male,35-49,5,Central Highlands,East Plains,District C,2024-04-17,2024,Apr,Yes,No,Yes,Secure,False,3
R0086,Male,50+,6,Central Highlands,North Valley,District A,2024-01-20,2024,Jan,No,Yes,Yes,Secure,False,1
R0087,Female,18-24,10,Central Highlands,South Ridge,District C,2024-03-24,2024,Mar,Yes,Yes,Yes,Insecure,False,1
R0088,Male,25-34,10,Central Highlands,South Ridge,District C,2024-01-17,2024,Jan,Yes,Yes,Yes,Insecure,False,3
R0089,Female,18-24,6,Central Highlands,South Ridge,District B,2024-01-28,2024,Jan,No,No,No,Secure,False,2
R0090,Female,18-24,6,Central Highlands,South Ridge,District B,2024-04-16,2024,Apr,Yes,No,Yes,Secure,False,3
R0091,Female,18-24,10,Central Highlands,South Ridge,District B,2024-04-28,2024,Apr,Yes,No,No,Secure,True,0
R0092,Female,18-24,2,Central Highlands,South Ridge,District A,2024-03-09,2024,Mar,Yes,Yes,No,Insecure,False,2
R0093,Female,35-49,7,Central Highlands,East Plains,District C,2024-01-20,2024,Jan,Yes,Yes,Yes,Insecure,True,0
R0094,Male,50+,10,Central Highlands,North Valley,District A,2024-02-16,2024,Feb,No,No,No,Secure,True,0
R0095,Male,25-34,9,Central Highlands,East Plains,District C,2024-02-06,2024,Feb,Yes,No,Yes,Insecure,False,1
R0096,Male,18-24,2,Central Highlands,North Valley,District C,2024-02-09,2024,Feb,No,Yes,No,Secure,False,1
R0097,Female,25-34,6,Central Highlands,North Valley,District A,2024-03-03,2024,Mar,No,No,Yes,Secure,False,3
R0098,Female,25-34,3,Central Highlands,North Valley,District B,2024-04-21,2024,Apr,No,Yes,Yes,Secure,False,1
R0099,Female,18-24,9,Central Highlands,East Plains,District B,2024-04-21,2024,Apr,Yes,Yes,Yes,Insecure,True,0
R0100,Female,50+,2,Central Highlands,East Plains,District A,2024-03-09,2024,Mar,Yes,Yes,No,Secure,True,0
R0101,Male,18-24,7,Central Highlands,East Plains,District C,2024-03-02,2024,Mar,Yes,No,No,Secure,False,1
R0102,Female,18-24,1,Central Highlands,South Ridge,District A,2024-01-10,2024,Jan,No,Yes,Yes,Secure,True,0
R0103,Male,18-24,8,Central Highlands,South Ridge,District A,2024-01-02,2024,Jan,No,Yes,Yes,Secure,True,0
R0104,Female,35-49,9,Central Highlands,North Valley,District B,2024-02-01,2024,Feb,Yes,No,Yes,Insecure,True,0
R0105,Male,35-49,8,Central Highlands,North Valley,District A,2024-01-10,2024,Jan,No,No,Yes,Insecure,True,0
R0106,Female,18-24,2,Central Highlands,South Ridge,District A,2024-03-18,2024,Mar,No,No,No,Insecure,True,0
R0107,Female,18-24,4,Central Highlands,East Plains,District A,2024-02-21,2024,Feb,Yes,No,No,Insecure,True,0
R0108,Male,18-24,4,Central Highlands,North Valley,District B,2024-04-28,2024,Apr,Yes,No,No,Insecure,True,0
R0109,Female,50+,10,Central Highlands,South Ridge,District B,2024-03-14,2024,Mar,Yes,No,Yes,Secure,False,3
R0110,Female,18-24,5,Central Highlands,North Valley,District A,2024-01-08,2024,Jan,Yes,No,No,Insecure,False,1
R0111,Female,25-34,4,Central Highlands,South Ridge,District B,2024-04-03,2024,Apr,Yes,No,Yes,Insecure,False,2
R0112,Female,25-34,2,Central Highlands,North Valley,District A,2024-02-28,2024,Feb,Yes,Yes,Yes,Insecure,True,0
R0113,Female,18-24,2,Central Highlands,East Plains,District C,2024-02-18,2024,Feb,Yes,No,No,Insecure,True,0
R0114,Female,25-34,5,Central Highlands,North Valley,District B,2024-02-22,2024,Feb,No,Yes,Yes,Insecure,True,0
R0115,Male,25-34,9,Central Highlands,North Valley,District A,2024-01-31,2024,Jan,No,No,Yes,Secure,True,0
R0116,Male,18-24,10,Central Highlands,East Plains,District B,2024-01-04,2024,Jan,No,Yes,Yes,Secure,True,0
R0117,Male,50+,10,Central Highlands,South Ridge,District B,2024-03-30,2024,Mar,No,No,No,Secure,False,3
R0118,Male,25-34,3,Central Highlands,East Plains,District C,2024-04-30,2024,Apr,No,Yes,Yes,Insecure,True,0
R0119,Female,50+,4,Central Highlands,South Ridge,District A,2024-03-13,2024,Mar,Yes,No,No,Secure,True,0
R0120,Female,18-24,7,Central Highlands,East Plains,District C,2024-03-11,2024,Mar,Yes,Yes,No,Insecure,False,3
R0121,Female,18-24,8,Central Highlands,South Ridge,District B,2024-02-19,2024,Feb,Yes,Yes,No,Insecure,True,0
R0122,Female,25-34,7,Central Highlands,North Valley,District C,2024-04-19,2024,Apr,No,No,No,Insecure,False,1
R0123,Male,18-24,5,Central Highlands,North Valley,District A,2024-02-14,2024,Feb,No,No,No,Secure,False,1
R0124,Male,50+,9,Central Highlands,South Ridge,District A,2024-01-08,2024,Jan,Yes,No,No,Insecure,False,2
R0125,Male,25-34,3,Central Highlands,East Plains,District C,2024-04-24,2024,Apr,Yes,Yes,Yes,Insecure,True,0
R0126,Male,18-24,3,Central Highlands,South Ridge,District B,2024-02-02,2024,Feb,No,No,No,Insecure,True,0
R0127,Female,35-49,8,Central Highlands,East Plains,District B,2024-03-03,2024,Mar,Yes,Yes,Yes,Insecure,True,0
R0128,Male,25-34,6,Central Highlands,East Plains,District B,2024-01-08,2024,Jan,No,Yes,No,Secure,False,3
R0129,Male,50+,10,Central Highlands,East Plains,District B,2024-01-20,2024,Jan,No,No,No,Insecure,False,2
R0130,Female,50+,9,Central Highlands,North Valley,District B,2024-01-17,2024,Jan,Yes,Yes,Yes,Insecure,False,3
R0131,Female,35-49,4,Central Highlands,South Ridge,District C,2024-04-10,2024,Apr,No,Yes,Yes,Insecure,True,0
R0132,Male,50+,1,Central Highlands,East Plains,District B,2024-02-11,2024,Feb,Yes,Yes,Yes,Secure,False,2
R0133,Female,25-34,10,Central Highlands,North Valley,District B,2024-01-02,2024,Jan,No,Yes,Yes,Secure,False,2
R0134,Female,18-24,9,Central Highlands,North Valley,District A,2024-01-29,2024,Jan,Yes,No,No,Secure,False,1
R0135,Female,35-49,9,Central Highlands,North Valley,District C,2024-03-18,2024,Mar,Yes,Yes,No,Secure,False,2
R0136,Female,18-24,1,Central Highlands,East Plains,District B,2024-03-10,2024,Mar,Yes,Yes,No,Secure,False,1
R0137,Male,25-34,1,Central Highlands,North Valley,District A,2024-01-21,2024,Jan,Yes,No,No,Insecure,False,1
R0138,Male,18-24,6,Central Highlands,South Ridge,District C,2024-04-04,2024,Apr,Yes,Yes,No,Secure,True,0
R0139,Male,25-34,4,Central Highlands,North Valley,District C,2024-02-13,2024,Feb,Yes,No,No,Secure,True,0
R0140,Female,35-49,10,Central Highlands,North Valley,District C,2024-01-11,2024,Jan,No,No,Yes,Insecure,False,1
R0141,Female,25-34,3,Central Highlands,East Plains,District B,2024-01-18,2024,Jan,Yes,No,No,Secure,False,1
R0142,Female,25-34,7,Central Highlands,East Plains,District B,2024-03-21,2024,Mar,Yes,Yes,No,Secure,False,3
R0143,Male,35-49,8,Central Highlands,South Ridge,District A,2024-04-12,2024,Apr,Yes,Yes,No,Secure,False,3
R0144,Female,18-24,1,Central Highlands,East Plains,District C,2024-03-25,2024,Mar,Yes,No,Yes,Secure,False,1
R0145,Male,35-49,5,Central Highlands,South Ridge,District B,2024-01-11,2024,Jan,No,No,No,Secure,True,0
R0146,Male,25-34,8,Central Highlands,East Plains,District C,2024-01-05,2024,Jan,No,No,No,Secure,True,0
R0147,Male,25-34,9,Central Highlands,East Plains,District A,2024-01-03,2024,Jan,No,No,No,Secure,True,0
R0148,Male,18-24,1,Central Highlands,North Valley,District B,2024-02-08,2024,Feb,No,No,No,Secure,True,0
R0149,Male,50+,1,Central Highlands,East Plains,District B,2024-03-15,2024,Mar,No,No,Yes,Insecure,True,0
R0150,Female,25-34,8,Central Highlands,North Valley,District C,2024-03-16,2024,Mar,No,No,Yes,Secure,True,0
R0151,Male,25-34,9,Central Highlands,East Plains,District C,2024-02-23,2024,Feb,No,Yes,No,Secure,False,3
R0152,Female,18-24,8,Central Highlands,North Valley,District C,2024-01-14,2024,Jan,No,Yes,Yes,Secure,False,3
R0153,Female,35-49,4,Central Highlands,South Ridge,District C,2024-03-22,2024,Mar,No,No,Yes,Secure,False,3
R0154,Female,50+,10,Central Highlands,East Plains,District A,2024-02-02,2024,Feb,Yes,Yes,Yes,Insecure,False,1
R0155,Female,25-34,8,Central Highlands,North Valley,District B,2024-03-20,2024,Mar,Yes,No,No,Insecure,True,0
R0156,Male,25-34,8,Central Highlands,East Plains,District B,2024-02-25,2024,Feb,Yes,No,No,Insecure,True,0
R0157,Male,18-24,6,Central Highlands,South Ridge,District B,2024-02-13,2024,Feb,Yes,Yes,Yes,Insecure,False,1
R0158,Female,35-49,9,Central Highlands,North Valley,District C,2024-04-10,2024,Apr,Yes,Yes,No,Secure,False,3
R0159,Male,25-34,7,Central Highlands,North Valley,District A,2024-04-15,2024,Apr,Yes,No,No,Secure,True,0
R0160,Male,50+,9,Central Highlands,South Ridge,District A,2024-03-20,2024,Mar,Yes,No,Yes,Secure,True,0
R0161,Male,35-49,2,Central Highlands,North Valley,District B,2024-02-04,2024,Feb,No,No,No,Insecure,False,1
R0162,Male,50+,8,Central Highlands,East Plains,District A,2024-03-08,2024,Mar,Yes,Yes,No,Insecure,False,3
R0163,Male,18-24,10,Central Highlands,East Plains,District C,2024-04-13,2024,Apr,Yes,No,Yes,Secure,True,0
R0164,Female,35-49,1,Central Highlands,South Ridge,District B,2024-01-28,2024,Jan,No,No,Yes,Insecure,False,1
R0165,Male,50+,1,Central Highlands,East Plains,District B,2024-01-12,2024,Jan,Yes,No,Yes,Secure,True,0
R0166,Female,50+,9,Central Highlands,South Ridge,District B,2024-04-28,2024,Apr,Yes,No,Yes,Secure,False,1
R0167,Male,50+,5,Central Highlands,East Plains,District B,2024-04-17,2024,Apr,No,Yes,No,Insecure,False,1
R0168,Female,18-24,3,Central Highlands,East Plains,District C,2024-01-12,2024,Jan,Yes,Yes,No,Insecure,False,2
R0169,Female,18-24,10,Central Highlands,East Plains,District A,2024-03-26,2024,Mar,No,No,No,Insecure,False,3
R0170,Female,35-49,9,Central Highlands,East Plains,District A,2024-04-18,2024,Apr,No,No,Yes,Secure,False,1
R0171,Male,35-49,6,Central Highlands,North Valley,District A,2024-03-04,2024,Mar,No,No,No,Secure,False,1
R0172,Female,18-24,5,Central Highlands,South Ridge,District A,2024-03-09,2024,Mar,Yes,No,No,Insecure,True,0
R0173,Female,35-49,8,Central Highlands,East Plains,District C,2024-01-20,2024,Jan,Yes,No,Yes,Secure,False,2
R0174,Male,50+,1,Central Highlands,East Plains,District C,2024-01-05,2024,Jan,Yes,No,No,Secure,True,0
R0175,Female,18-24,4,Central Highlands,North Valley,District B,2024-01-19,2024,Jan,No,No,Yes,Insecure,True,0
R0176,Male,25-34,3,Central Highlands,East Plains,District C,2024-04-08,2024,Apr,No,No,Yes,Secure,False,3
R0177,Male,50+,8,Central Highlands,East Plains,District B,2024-03-22,2024,Mar,No,No,No,Secure,False,3
R0178,Male,18-24,10,Central Highlands,North Valley,District A,2024-04-03,2024,Apr,No,Yes,No,Insecure,False,3
R0179,Female,50+,10,Central Highlands,South Ridge,District B,2024-02-17,2024,Feb,No,No,Yes,Secure,True,0
R0180,Female,50+,2,Central Highlands,South Ridge,District A,2024-03-26,2024,Mar,Yes,No,No,Insecure,True,0
R0181,Male,18-24,5,Central Highlands,North Valley,District A,2024-03-27,2024,Mar,Yes,No,No,Secure,True,0
R0182,Male,25-34,2,Central Highlands,East Plains,District A,2024-02-14,2024,Feb,Yes,No,Yes,Insecure,True,0
R0183,Male,25-34,8,Central Highlands,East Plains,District A,2024-03-06,2024,Mar,Yes,Yes,No,Secure,False,2
R0184,Male,18-24,4,Central Highlands,South Ridge,District A,2024-01-31,2024,Jan,Yes,No,No,Insecure,False,3
R0185,Female,35-49,10,Central Highlands,East Plains,District A,2024-04-26,2024,Apr,No,Yes,No,Insecure,False,3
R0186,Female,35-49,10,Central Highlands,East Plains,District B,2024-04-08,2024,Apr,Yes,Yes,Yes,Secure,True,0
R0187,Male,35-49,9,Central Highlands,East Plains,District C,2024-04-19,2024,Apr,Yes,Yes,No,Insecure,True,0
R0188,Male,25-34,8,Central Highlands,East Plains,District C,2024-03-11,2024,Mar,No,No,No,Secure,True,0
R0189,Female,35-49,4,Central Highlands,East Plains,District A,2024-02-04,2024,Feb,No,No,No,Secure,False,2
R0190,Male,25-34,1,Central Highlands,South Ridge,District A,2024-02-17,2024,Feb,Yes,Yes,Yes,Secure,False,3
R0191,Female,50+,10,Central Highlands,North Valley,District B,2024-04-09,2024,Apr,Yes,No,No,Secure,True,0
R0192,Male,18-24,4,Central Highlands,East Plains,District C,2024-03-09,2024,Mar,No,Yes,Yes,Secure,False,3
R0193,Male,35-49,2,Central Highlands,North Valley,District B,2024-04-13,2024,Apr,Yes,No,No,Secure,False,1
R0194,Male,25-34,5,Central Highlands,North Valley,District B,2024-02-12,2024,Feb,No,No,No,Secure,False,3
R0195,Female,35-49,2,Central Highlands,North Valley,District B,2024-04-30,2024,Apr,Yes,No,Yes,Insecure,False,3
R0196,Female,25-34,1,Central Highlands,North Valley,District B,2024-01-03,2024,Jan,No,No,No,Secure,False,2
R0197,Female,18-24,3,Central Highlands,South Ridge,District B,2024-03-12,2024,Mar,Yes,No,No,Insecure,True,0
R0198,Male,18-24,5,Central Highlands,South Ridge,District A,2024-03-07,2024,Mar,No,Yes,Yes,Secure,False,3
R0199,Male,50+,7,Central Highlands,South Ridge,District C,2024-02-20,2024,Feb,Yes,No,Yes,Insecure,False,1
R0200,Male,25-34,2,Central Highlands,East Plains,District C,2024-02-13,2024,Feb,No,Yes,Yes,Insecure,False,3
R0201,Male,35-49,6,Central Highlands,North Valley,District B,2024-03-22,2024,Mar,Yes,Yes,Yes,Secure,True,0
R0202,Male,18-24,6,Central Highlands,South Ridge,District A,2024-02-15,2024,Feb,No,Yes,Yes,Secure,True,0
R0203,Male,50+,9,Central Highlands,North Valley,District B,2024-03-05,2024,Mar,No,Yes,No,Secure,False,2
R0204,Female,25-34,5,Central Highlands,North Valley,District A,2024-03-24,2024,Mar,Yes,No,Yes,Secure,False,1
R0205,Male,50+,2,Central Highlands,North Valley,District A,2024-01-01,2024,Jan,Yes,No,Yes,Insecure,True,0
R0206,Male,25-34,7,Central Highlands,East Plains,District A,2024-02-15,2024,Feb,No,Yes,No,Insecure,False,1
R0207,Male,50+,1,Central Highlands,South Ridge,District B,2024-01-03,2024,Jan,No,No,Yes,Insecure,True,0
R0208,Female,50+,10,Central Highlands,North Valley,District B,2024-04-10,2024,Apr,No,Yes,Yes,Insecure,False,1
R0209,Male,35-49,4,Central Highlands,South Ridge,District A,2024-02-17,2024,Feb,No,No,No,Secure,False,1
R0210,Male,35-49,7,Central Highlands,East Plains,District C,2024-02-18,2024,Feb,No,Yes,No,Insecure,False,3
R0211,Female,18-24,4,Central Highlands,South Ridge,District A,2024-03-20,2024,Mar,No,No,Yes,Secure,False,2
R0212,Male,25-34,10,Central Highlands,East Plains,District B,2024-01-24,2024,Jan,Yes,Yes,No,Secure,True,0
R0213,Female,35-49,3,Central Highlands,South Ridge,District B,2024-03-18,2024,Mar,Yes,Yes,No,Insecure,False,1
R0214,Male,35-49,1,Central Highlands,North Valley,District B,2024-02-01,2024,Feb,No,Yes,Yes,Secure,False,2
R0215,Male,18-24,9,Central Highlands,North Valley,District C,2024-02-25,2024,Feb,Yes,Yes,No,Insecure,False,3
R0216,Female,35-49,6,Central Highlands,South Ridge,District B,2024-02-06,2024,Feb,Yes,No,No,Secure,False,1
R0217,Male,18-24,5,Central Highlands,North Valley,District B,2024-03-07,2024,Mar,No,Yes,Yes,Insecure,True,0
R0218,Female,25-34,10,Central Highlands,North Valley,District C,2024-02-06,2024,Feb,Yes,Yes,No,Secure,True,0
R0219,Male,18-24,8,Central Highlands,East Plains,District B,2024-02-07,2024,Feb,Yes,Yes,No,Insecure,True,0
R0220,Male,18-24,6,Central Highlands,East Plains,District A,2024-04-18,2024,Apr,Yes,Yes,Yes,Secure,True,0
R0221,Male,18-24,3,Central Highlands,North Valley,District B,2024-04-15,2024,Apr,No,No,No,Insecure,False,1
R0222,Female,50+,7,Central Highlands,North Valley,District B,2024-02-29,2024,Feb,No,No,Yes,Secure,True,0
R0223,Male,35-49,3,Central Highlands,South Ridge,District B,2024-03-16,2024,Mar,Yes,No,Yes,Secure,False,3
R0224,Female,35-49,8,Central Highlands,East Plains,District C,2024-02-14,2024,Feb,Yes,Yes,No,Insecure,True,0
R0225,Female,25-34,8,Central Highlands,North Valley,District B,2024-02-15,2024,Feb,No,Yes,No,Insecure,True,0
R0226,Male,18-24,1,Central Highlands,East Plains,District A,2024-04-15,2024,Apr,Yes,No,No,Secure,False,2
R0227,Male,35-49,3,Central Highlands,South Ridge,District B,2024-04-28,2024,Apr,Yes,No,Yes,Secure,False,2
R0228,Female,25-34,2,Central Highlands,South Ridge,District C,2024-02-03,2024,Feb,No,Yes,No,Secure,False,1
R0229,Male,50+,2,Central Highlands,South Ridge,District B,2024-03-03,2024,Mar,Yes,No,No,Insecure,True,0
R0230,Male,18-24,2,Central Highlands,South Ridge,District C,2024-04-11,2024,Apr,No,Yes,Yes,Secure,False,2
R0231,Male,18-24,6,Central Highlands,South Ridge,District B,2024-03-03,2024,Mar,No,Yes,Yes,Secure,False,1
R0232,Male,35-49,6,Central Highlands,North Valley,District C,2024-03-17,2024,Mar,Yes,Yes,No,Secure,False,1
R0233,Male,18-24,7,Central Highlands,North Valley,District A,2024-01-01,2024,Jan,No,Yes,Yes,Insecure,True,0
